title,site,type,directorAndActor,quote,star,date,url
飞越疯人院 / 飞越杜鹃窝  /  飞越喜鹊巢,美国,剧情,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...,自由万岁。,9.0,1975,https://movie.douban.com/subject/1292224/
指环王2：双塔奇兵 / 魔戒二部曲：双城奇谋  /  指环王II：双塔,美国 新西兰,剧情 动作 奇幻 冒险,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,承前启后的史诗篇章。,9.0,2002,https://movie.douban.com/subject/1291572/
钢琴家 / 战地琴人  /  钢琴战曲,法国 德国 英国 波兰,剧情 传记 历史 战争,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...,音乐能化解仇恨。,9.0,2002,https://movie.douban.com/subject/1296736/
狩猎 / 谎言的烙印(台)  /  诬网(港),丹麦 瑞典,剧情,导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...,人言可畏。,9.0,2012,https://movie.douban.com/subject/6985810/
海洋 / Oceans  /  海洋,法国 瑞士 西班牙 美国 阿联酋,纪录片,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...,大海啊，不全是水。,9.0,2009,https://movie.douban.com/subject/3443389/
完美的世界 / 强盗保镳,美国,剧情 犯罪,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...,坏人的好总是比好人的好来得更感人。,9.0,1993,https://movie.douban.com/subject/1300992/
忠犬八公物语 / 八千公物语  /  阿八的故事,日本,剧情,导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...,养狗三日，便会对你终其一生。,9.0,1987,https://movie.douban.com/subject/1959195/
无人知晓 / 谁知赤子心  /  无人知晓的夏日清晨,日本,剧情,导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...,我的平常生活就是他人的幸福。,9.0,2004,https://movie.douban.com/subject/1292337/
爱·回家 / 外婆的家  /  回家路上,韩国,剧情 家庭,导演:李廷香Jeong-hyangLee   主演:金艺芬Eul-boonKim/俞承豪Seung-...,献给所有外婆的电影。,9.0,2002,https://movie.douban.com/subject/1299361/
我爱你 / 爱你  /  Late Blossom,韩国,剧情 爱情,导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,2011,https://movie.douban.com/subject/5908478/
当幸福来敲门 / 寻找快乐的故事(港)  /  追求快乐,美国,剧情 传记 家庭,导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...,平民励志片。 ,8.9,2006,https://movie.douban.com/subject/1849031/
怦然心动 / 萌动青春  /  青春萌动,美国,剧情 喜剧 爱情,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...,真正的幸福是来自内心深处。,8.9,2010,https://movie.douban.com/subject/3319755/
罗马假日 / 金枝玉叶(港)  /  罗马假期(台),美国,喜剧 剧情 爱情,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...,爱情哪怕只有一天。,8.9,1953,https://movie.douban.com/subject/1293839/
大话西游之月光宝盒 / 西游记101回月光宝盒  /  齐天大圣东游记,香港 中国大陆,喜剧 爱情 奇幻 冒险,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,旷古烁今。,8.9,1995,https://movie.douban.com/subject/1299398/
飞屋环游记 / 冲天救兵(港)  /  天外奇迹(台),美国,剧情 喜剧 动画 冒险,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...,最后那些最无聊的事情，才是最值得怀念的。 ,8.9,2009,https://movie.douban.com/subject/2129039/
闻香识女人 / 女人香  /  女人的芳香,美国,剧情,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...,史上最美的探戈。,8.9,1992,https://movie.douban.com/subject/1298624/
哈尔的移动城堡 / 呼啸山城  /  霍尔的移动城堡,日本,爱情 动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...,带着心爱的人在天空飞翔。,8.9,2004,https://movie.douban.com/subject/1308807/
死亡诗社 / 暴雨骄阳(港)  /  春风化雨(台),美国,剧情,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,8.9,1989,https://movie.douban.com/subject/1291548/
美丽心灵 / 有你终生美丽(港)  /  美丽境界(台),美国,传记 剧情,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/詹妮弗·...,爱是一切逻辑和原由。,8.9,2001,https://movie.douban.com/subject/1306029/
指环王1：魔戒再现 / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,新西兰 美国,剧情 动作 奇幻 冒险,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,传说的开始。,8.9,2001,https://movie.douban.com/subject/1291571/
狮子王 / 狮子王3D,美国,剧情 动画 冒险 歌舞 家庭,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...,动物版《哈姆雷特》。,8.9,1994,https://movie.douban.com/subject/1301753/
被嫌弃的松子的一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),日本,剧情 歌舞,导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...,以戏谑来戏谑戏谑。,8.9,2006,https://movie.douban.com/subject/1787291/
音乐之声 / 仙乐飘飘处处闻(港)  /  真善美(台),美国,剧情 传记 爱情 歌舞,导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...,用音乐化解仇恨，让歌声串起美好。,8.9,1965,https://movie.douban.com/subject/1294408/
拯救大兵瑞恩 / 雷霆救兵(港)  /  抢救雷恩大兵(台),美国,剧情 历史 战争,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,美利坚精神输出大片No1.,8.9,1998,https://movie.douban.com/subject/1292849/
玛丽和马克思 / 巧克力情缘(台)  /  同是天涯寂寞客,澳大利亚,剧情 动画,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...,你是我最好的朋友，你是我唯一的朋友 。,8.9,2009,https://movie.douban.com/subject/3072124/
末代皇帝 / 末代皇帝溥仪(港),意大利 中国大陆 英国 法国,剧情 传记 历史,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,8.9,1987,https://movie.douban.com/subject/1293172/
一一 / Yi yi  /  Yi yi: A One and a Two,台湾 日本,剧情 爱情 家庭,导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...,我们都曾经是一一。,8.9,2000,https://movie.douban.com/subject/1292434/
上帝之城 / 无主之城 (港)  /  无法无天 (台),巴西 法国,犯罪 剧情,导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...,被上帝抛弃了的上帝之城。,8.9,2002,https://movie.douban.com/subject/1292208/
穿条纹睡衣的男孩 / 穿条纹衣服的男孩  /  穿条纹衣的男孩,英国 美国,剧情 战争,导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,8.9,2008,https://movie.douban.com/subject/3008247/
红辣椒 / 盗梦侦探  /  帕布莉卡,日本,动画 悬疑 科幻 惊悚,导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T...,梦的勾结。,8.9,2006,https://movie.douban.com/subject/1865703/
小森林 夏秋篇 / 小森食光 / 夏秋篇(台) ,日本,剧情,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,那些静得只能听见呼吸的日子里，你明白孤独即生活。,8.9,2014,https://movie.douban.com/subject/25814705/
